MySQL connected successfully.
Server running on port 4000
[2026-05-25T20:12:29.649Z] POST /api/auth/login
[2026-05-25T20:12:59.682Z] GET /api/page-seo
[2026-05-25T20:12:59.961Z] GET /api/page-seo
[2026-05-25T20:13:04.063Z] GET /api/page-seo
[2026-05-25T20:13:04.114Z] GET /api/page-seo
[2026-05-25T20:16:56.223Z] GET /api/page-seo
[2026-05-25T20:16:56.228Z] GET /api/page-seo
[2026-05-25T20:18:00.047Z] POST /api/auth/login
[2026-05-25T20:18:00.634Z] GET /api/page-seo
[2026-05-25T20:18:00.705Z] GET /api/auth/me
[2026-05-25T20:18:00.719Z] GET /api/auth/me
[2026-05-25T20:18:00.834Z] GET /api/dashboard/posts
[2026-05-25T20:18:01.343Z] GET /api/dashboard/posts
[2026-05-25T20:18:11.326Z] GET /api/auth/me
[2026-05-25T20:18:11.336Z] GET /api/auth/me
[2026-05-25T20:18:11.446Z] GET /api/dashboard/posts
[2026-05-25T20:18:11.497Z] GET /api/dashboard/posts
[2026-05-25T20:18:18.804Z] GET /api/page-seo
[2026-05-25T20:18:18.811Z] GET /api/page-seo
[2026-05-25T20:18:19.060Z] GET /api/page-seo
[2026-05-25T20:18:24.059Z] POST /api/auth/login
[2026-05-25T20:18:24.612Z] GET /api/page-seo
[2026-05-25T20:18:24.622Z] GET /api/auth/me
[2026-05-25T20:18:24.630Z] GET /api/auth/me
[2026-05-25T20:18:24.686Z] GET /api/leads/project-requests
[2026-05-25T20:18:24.689Z] GET /api/leads/contact-leads
[2026-05-25T20:18:24.691Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:18:24.715Z] GET /api/leads/contact-leads
[2026-05-25T20:18:24.717Z] GET /api/leads/project-requests
[2026-05-25T20:18:24.718Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:18:31.398Z] GET /api/page-seo
[2026-05-25T20:18:31.430Z] GET /api/auth/me
[2026-05-25T20:18:37.762Z] GET /api/page-seo
[2026-05-25T20:18:37.765Z] GET /api/leads/project-requests
[2026-05-25T20:18:37.767Z] GET /api/leads/contact-leads
[2026-05-25T20:18:37.769Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:18:37.778Z] GET /api/leads/contact-leads
[2026-05-25T20:18:37.779Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:18:37.780Z] GET /api/leads/project-requests
[2026-05-25T20:18:37.782Z] GET /api/auth/me
[2026-05-25T20:18:37.809Z] GET /api/leads/project-requests
[2026-05-25T20:18:37.811Z] GET /api/leads/contact-leads
[2026-05-25T20:18:37.812Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:18:37.819Z] GET /api/leads/project-requests
[2026-05-25T20:18:37.821Z] GET /api/leads/contact-leads
[2026-05-25T20:18:37.822Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:21:30.515Z] GET /api/page-seo
[2026-05-25T20:21:30.520Z] GET /api/page-seo
[2026-05-25T20:21:34.151Z] GET /api/page-seo
[2026-05-25T20:21:34.155Z] GET /api/page-seo
[2026-05-25T20:21:35.123Z] GET /api/page-seo
[2026-05-25T20:21:35.132Z] GET /api/page-seo
[2026-05-25T20:21:36.032Z] GET /api/page-seo
[2026-05-25T20:21:36.039Z] GET /api/page-seo
[2026-05-25T20:21:36.638Z] GET /api/page-seo
[2026-05-25T20:21:36.642Z] GET /api/page-seo
[2026-05-25T20:21:42.366Z] GET /api/page-seo
[2026-05-25T20:21:42.370Z] GET /api/page-seo
[2026-05-25T20:21:43.152Z] GET /api/page-seo
[2026-05-25T20:21:43.156Z] GET /api/page-seo
[2026-05-25T20:22:00.353Z] POST /api/auth/login
[2026-05-25T20:22:00.944Z] GET /api/page-seo
[2026-05-25T20:22:00.952Z] GET /api/auth/me
[2026-05-25T20:22:00.957Z] GET /api/auth/me
[2026-05-25T20:22:01.010Z] GET /api/leads/project-requests
[2026-05-25T20:22:01.012Z] GET /api/leads/contact-leads
[2026-05-25T20:22:01.013Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:01.017Z] GET /api/leads/project-requests
[2026-05-25T20:22:01.018Z] GET /api/leads/contact-leads
[2026-05-25T20:22:01.021Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:02.449Z] GET /api/page-seo
[2026-05-25T20:22:02.552Z] GET /api/auth/me
[2026-05-25T20:22:07.581Z] GET /api/page-seo
[2026-05-25T20:22:07.583Z] GET /api/leads/project-requests
[2026-05-25T20:22:07.585Z] GET /api/leads/contact-leads
[2026-05-25T20:22:07.586Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:07.587Z] GET /api/auth/me
[2026-05-25T20:22:07.594Z] GET /api/leads/project-requests
[2026-05-25T20:22:07.596Z] GET /api/leads/contact-leads
[2026-05-25T20:22:07.597Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:07.623Z] GET /api/leads/project-requests
[2026-05-25T20:22:07.624Z] GET /api/leads/contact-leads
[2026-05-25T20:22:07.625Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:07.629Z] GET /api/leads/project-requests
[2026-05-25T20:22:07.630Z] GET /api/leads/contact-leads
[2026-05-25T20:22:07.631Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:08.475Z] GET /api/page-seo
[2026-05-25T20:22:08.476Z] GET /api/dashboard/posts
[2026-05-25T20:22:08.477Z] GET /api/auth/me
[2026-05-25T20:22:08.516Z] GET /api/dashboard/posts
[2026-05-25T20:22:08.555Z] GET /api/dashboard/posts
[2026-05-25T20:22:08.593Z] GET /api/dashboard/posts
[2026-05-25T20:22:09.210Z] GET /api/page-seo
[2026-05-25T20:22:09.211Z] GET /api/dashboard/posts
[2026-05-25T20:22:09.212Z] GET /api/auth/me
[2026-05-25T20:22:09.250Z] GET /api/dashboard/posts
[2026-05-25T20:22:09.273Z] GET /api/dashboard/posts
[2026-05-25T20:22:09.296Z] GET /api/dashboard/posts
[2026-05-25T20:22:10.005Z] GET /api/page-seo
[2026-05-25T20:22:10.006Z] GET /api/dashboard/posts
[2026-05-25T20:22:10.007Z] GET /api/auth/me
[2026-05-25T20:22:10.051Z] GET /api/dashboard/posts
[2026-05-25T20:22:10.073Z] GET /api/dashboard/posts
[2026-05-25T20:22:10.096Z] GET /api/dashboard/posts
[2026-05-25T20:22:12.830Z] GET /api/page-seo
[2026-05-25T20:22:12.831Z] GET /api/page-seo
[2026-05-25T20:22:12.832Z] GET /api/dashboard/posts
[2026-05-25T20:22:12.836Z] GET /api/auth/me
[2026-05-25T20:22:12.842Z] GET /api/page-seo
[2026-05-25T20:22:12.868Z] GET /api/dashboard/posts
[2026-05-25T20:22:12.904Z] GET /api/page-seo
[2026-05-25T20:22:12.906Z] GET /api/dashboard/posts
[2026-05-25T20:22:12.917Z] GET /api/page-seo
[2026-05-25T20:22:12.943Z] GET /api/dashboard/posts
[2026-05-25T20:22:14.795Z] GET /api/page-seo
[2026-05-25T20:22:14.797Z] GET /api/career/jobs
[2026-05-25T20:22:14.798Z] GET /api/career/applications
[2026-05-25T20:22:14.801Z] GET /api/auth/me
[2026-05-25T20:22:14.820Z] GET /api/career/jobs
[2026-05-25T20:22:14.821Z] GET /api/career/applications
[2026-05-25T20:22:14.841Z] GET /api/career/jobs
[2026-05-25T20:22:14.842Z] GET /api/career/applications
[2026-05-25T20:22:14.846Z] GET /api/career/jobs
[2026-05-25T20:22:14.847Z] GET /api/career/applications
[2026-05-25T20:22:16.851Z] GET /api/page-seo
[2026-05-25T20:22:16.853Z] GET /api/auth/me
[2026-05-25T20:22:17.315Z] GET /api/page-seo
[2026-05-25T20:22:17.317Z] GET /api/auth/me
[2026-05-25T20:22:18.845Z] GET /api/page-seo
[2026-05-25T20:22:18.846Z] GET /api/auth/me
[2026-05-25T20:22:19.392Z] GET /api/page-seo
[2026-05-25T20:22:19.393Z] GET /api/career/jobs
[2026-05-25T20:22:19.394Z] GET /api/career/applications
[2026-05-25T20:22:19.395Z] GET /api/auth/me
[2026-05-25T20:22:19.404Z] GET /api/career/jobs
[2026-05-25T20:22:19.405Z] GET /api/career/applications
[2026-05-25T20:22:19.427Z] GET /api/career/jobs
[2026-05-25T20:22:19.428Z] GET /api/career/applications
[2026-05-25T20:22:19.432Z] GET /api/career/jobs
[2026-05-25T20:22:19.433Z] GET /api/career/applications
[2026-05-25T20:22:19.846Z] GET /api/page-seo
[2026-05-25T20:22:19.847Z] GET /api/dashboard/posts
[2026-05-25T20:22:19.849Z] GET /api/page-seo
[2026-05-25T20:22:19.850Z] GET /api/auth/me
[2026-05-25T20:22:19.862Z] GET /api/page-seo
[2026-05-25T20:22:19.895Z] GET /api/dashboard/posts
[2026-05-25T20:22:19.922Z] GET /api/page-seo
[2026-05-25T20:22:19.923Z] GET /api/dashboard/posts
[2026-05-25T20:22:19.927Z] GET /api/page-seo
[2026-05-25T20:22:19.944Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.258Z] GET /api/page-seo
[2026-05-25T20:22:20.259Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.260Z] GET /api/auth/me
[2026-05-25T20:22:20.300Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.325Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.347Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.417Z] GET /api/page-seo
[2026-05-25T20:22:20.418Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.419Z] GET /api/auth/me
[2026-05-25T20:22:20.449Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.478Z] GET /api/dashboard/posts
[2026-05-25T20:22:20.499Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.057Z] GET /api/page-seo
[2026-05-25T20:22:21.058Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.060Z] GET /api/auth/me
[2026-05-25T20:22:21.096Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.119Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.146Z] GET /api/dashboard/posts
[2026-05-25T20:22:21.243Z] GET /api/page-seo
[2026-05-25T20:22:21.244Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.245Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.246Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.248Z] GET /api/auth/me
[2026-05-25T20:22:21.255Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.258Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.259Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.288Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.289Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.290Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.294Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.295Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.295Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.726Z] GET /api/page-seo
[2026-05-25T20:22:21.777Z] GET /api/auth/me
[2026-05-25T20:22:21.870Z] GET /api/page-seo
[2026-05-25T20:22:21.872Z] GET /api/leads/project-requests
[2026-05-25T20:22:21.873Z] GET /api/leads/contact-leads
[2026-05-25T20:22:21.875Z] GET /api/leads/newsletter-subscribers
[2026-05-25T20:22:21.876Z] GET /api/auth/me
[2026-05-25T20:22:21.887Z] GET /api/leads/project-requests
